route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
868004,20163511multiint-0000010,48940924-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48941006-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163511multiint-0000010,48941087-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941014-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941097-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868004,20163511multiint-0000010,48940872-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940955-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163511multiint-0000010,48940884-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940967-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163511multiint-0000010,48940896-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940979-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163511multiint-0000010,48941060-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941144-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941071-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941154-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941081-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868074,20163511multiint-0000010,48939797-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163511multiint-0000010,48939722-20163511multiint-0000010,"Place D'Youville (Est)",,0,,80740009,1
868074,20163511multiint-0000010,48939802-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
